epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,510.878,1.87476,3.51111,1.0129,0.26377,0.06653,0.0696,0.05987,1.28131,2.81605,0.68595,7.89e-05,7.89e-05,7.89e-05
2,1011.22,1.49174,2.84165,0.90495,0.17373,0.10729,0.09732,0.05015,1.07697,1.81942,0.85641,0.000161446,0.000161446,0.000161446
3,1493.44,1.24086,1.66744,0.59271,0.05225,0.18394,0.0987,0.05106,0.63706,1.40115,0.28707,0.000242325,0.000242325,0.000242325
4,1981.77,0.8754,1.15649,0.35337,0.02747,0.23451,0.06415,0.04574,0.31996,1.39364,0.11107,0.000321538,0.000321538,0.000321538
5,2446.58,0.71429,1.25652,0.25477,0.66748,0.19536,0.08046,0.06269,0.21897,1.38875,0.06931,0.000399085,0.000399085,0.000399085
6,2911.99,0.77708,1.01326,0.24905,0.6846,0.08773,0.12756,0.09621,0.28708,1.24139,0.09195,0.000474965,0.000474965,0.000474965
7,3382.67,0.61133,1.12721,0.20095,0.70355,0.10326,0.15025,0.10509,0.33088,1.30343,0.11291,0.000494756,0.000494756,0.000494756
8,3846.42,0.63717,1.04448,0.19583,0.5097,0.51309,0.20469,0.15552,0.32542,1.03673,0.11097,0.000489548,0.000489548,0.000489548
9,4320.88,0.62734,1.01967,0.20165,0.88338,0.21807,0.26079,0.18582,0.37,0.96973,0.12211,0.000484341,0.000484341,0.000484341
10,4788.39,0.64517,0.93123,0.23174,0.90431,0.24204,0.34252,0.25315,0.36464,0.84294,0.12533,0.000479133,0.000479133,0.000479133
11,5250.64,0.59442,0.88118,0.20369,0.60745,0.43282,0.34671,0.25391,0.35347,0.83865,0.12539,0.000473926,0.000473926,0.000473926
12,5724.42,0.52074,0.84101,0.15937,0.58832,0.54313,0.34243,0.26863,0.30026,0.81651,0.11072,0.000468719,0.000468719,0.000468719
