epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0079,1.81679,3.44322,1.43044,0.05993,0.09893,0.03696,0.01425,1.97281,225.438,1.50693,0.0002,0.0002,0.0802
2,53.392,1.57382,1.9542,1.21519,0.37286,0.16184,0.10893,0.04686,1.85836,67.8919,1.45104,0.000408376,0.000408376,0.0594084
3,64.4736,1.56327,1.74378,1.21968,0.40012,0.2101,0.15298,0.07197,1.89978,13.1791,1.41092,0.00061509,0.00061509,0.0386151
4,76.2576,1.56646,1.66844,1.22976,0.32361,0.3015,0.16595,0.0734,2.06932,9.91796,1.53147,0.00082014,0.00082014,0.0178201
5,87.095,1.52564,1.46654,1.19348,0.43411,0.3984,0.20685,0.10154,1.78168,5.52476,1.32126,0.00098416,0.00098416,0.00098416
6,98.0194,1.52132,1.41081,1.18201,0.68555,0.30668,0.18373,0.0789,1.85132,5.08783,1.36355,0.0009802,0.0009802,0.0009802
7,108.605,1.48472,1.35038,1.18398,0.52846,0.36818,0.2231,0.09474,1.84685,2.93862,1.31488,0.00097624,0.00097624,0.00097624
8,119.626,1.508,1.36023,1.19284,0.34591,0.39837,0.20891,0.08565,1.83129,4.39266,1.31225,0.00097228,0.00097228,0.00097228
9,130.847,1.47189,1.25458,1.16963,0.56217,0.3109,0.18086,0.08375,1.78647,4.25235,1.30048,0.00096832,0.00096832,0.00096832
10,141.139,1.46029,1.20619,1.16796,0.57975,0.32515,0.19946,0.08825,1.74839,4.56558,1.24251,0.00096436,0.00096436,0.00096436
11,151.932,1.43508,1.17482,1.15281,0.4838,0.36182,0.19208,0.0922,1.6557,3.87687,1.24307,0.0009604,0.0009604,0.0009604
12,162.944,1.44054,1.20514,1.16344,0.43602,0.49369,0.29499,0.12166,1.72296,4.58997,1.26796,0.00095644,0.00095644,0.00095644
13,174.441,1.42685,1.17872,1.14342,0.56539,0.32532,0.3232,0.15253,1.73608,3.92461,1.24753,0.00095248,0.00095248,0.00095248
14,184.956,1.39548,1.10604,1.13991,0.66365,0.35656,0.2487,0.12034,1.79054,2.66194,1.28197,0.00094852,0.00094852,0.00094852
15,195.865,1.44057,1.1034,1.15573,0.56483,0.32158,0.28767,0.13128,1.81766,2.85124,1.28507,0.00094456,0.00094456,0.00094456
16,206.831,1.409,1.07129,1.14044,0.64192,0.39398,0.31439,0.14865,1.66178,3.92465,1.22885,0.0009406,0.0009406,0.0009406
17,217.671,1.41398,1.08878,1.13867,0.59157,0.38735,0.2971,0.14897,1.65584,4.25026,1.21002,0.00093664,0.00093664,0.00093664
18,228.619,1.42475,1.10328,1.1467,0.46508,0.42373,0.26613,0.11808,1.87323,4.00816,1.31456,0.00093268,0.00093268,0.00093268
19,239.69,1.4071,1.0779,1.14417,0.5408,0.33474,0.29633,0.14153,1.55,4.05703,1.19431,0.00092872,0.00092872,0.00092872
20,251.012,1.39362,1.08497,1.1478,0.69533,0.28183,0.26974,0.1229,1.9497,2.93137,1.32021,0.00092476,0.00092476,0.00092476
21,261.582,1.4074,1.09413,1.14107,0.60924,0.34778,0.3228,0.1596,1.76399,4.34178,1.25154,0.0009208,0.0009208,0.0009208
22,272.602,1.39497,1.05623,1.11984,0.51017,0.34,0.24396,0.13199,1.59735,3.39182,1.2141,0.00091684,0.00091684,0.00091684
23,283.934,1.40946,1.02578,1.12869,0.55002,0.41396,0.29051,0.13017,1.84902,3.49104,1.29727,0.00091288,0.00091288,0.00091288
24,295.738,1.38776,1.05441,1.12012,0.63334,0.3739,0.32542,0.15316,1.69252,3.08186,1.26157,0.00090892,0.00090892,0.00090892
