epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.1761,1.50991,4.48828,1.21857,0,0,0,0,0.75947,4.40456,0.9207,3.682e-05,3.682e-05,3.682e-05
2,174.3,1.49832,4.33981,1.1339,0,0,0,0,0.82418,4.37147,0.9151,7.73378e-05,7.73378e-05,7.73378e-05
3,253.677,1.44144,4.09196,1.08107,0,0,0,0,0.88843,4.23683,0.88508,0.000116189,0.000116189,0.000116189
4,336.021,1.46763,3.99198,1.0508,0.22744,0.2161,0.14409,0.12416,0.8395,4.12937,0.86936,0.000153374,0.000153374,0.000153374
5,419.814,1.4322,3.82216,1.0522,0.09559,0.34791,0.13655,0.10155,0.88836,4.04675,0.87401,0.000188893,0.000188893,0.000188893
6,506.763,1.45622,3.5776,1.07805,0.06496,0.33967,0.18432,0.13541,0.90357,3.97236,0.8857,0.000222745,0.000222745,0.000222745
7,623.596,1.48513,3.33905,1.03549,0.07635,0.41639,0.16392,0.10771,0.85069,3.87849,0.87266,0.000254931,0.000254931,0.000254931
8,759.023,1.34354,3.0549,1.03908,0.08599,0.51298,0.24568,0.16631,0.89101,3.72914,0.87616,0.000285451,0.000285451,0.000285451
9,1080.52,1.45259,3.12663,1.04177,0.09558,0.21476,0.13667,0.09756,0.87491,3.43788,0.88667,0.000314304,0.000314304,0.000314304
10,1447.23,1.41176,2.71924,1.05293,0.88843,0.18143,0.3416,0.26148,0.88584,3.27554,0.88328,0.000341491,0.000341491,0.000341491
11,1582.28,1.40145,2.62602,1.05056,0.90777,0.2629,0.35807,0.2624,0.84815,2.89816,0.88293,0.000367011,0.000367011,0.000367011
12,1692.57,1.33579,2.4309,1.04182,0.87364,0.274,0.41551,0.30272,0.85272,2.78766,0.89932,0.000390865,0.000390865,0.000390865
13,1783.43,1.37036,2.21903,1.06655,0.84333,0.29226,0.43206,0.32355,0.85595,2.54849,0.90953,0.000401022,0.000401022,0.000401022
14,1883.13,1.39922,2.13955,1.0841,0.93664,0.38241,0.47484,0.33697,0.87608,2.21804,0.91557,0.000390608,0.000390608,0.000390608
15,1968.59,1.37895,2.00552,1.08312,0.49916,0.47349,0.47197,0.31831,0.91593,2.0238,0.94044,0.000380193,0.000380193,0.000380193
16,2049.02,1.35154,1.95411,1.05654,0.67204,0.59697,0.50243,0.36638,0.87572,1.79763,0.95248,0.000369778,0.000369778,0.000369778
